OrderID,ProductID,Category,ProductName,Quantity,Price,TotalAmount,OrderDate,CustomerID,PaymentMethod,SalesChannel,IsReturned
1,272,Electronics,Product_272,3,54.21,162.63,2022-04-21 01:48:37,26,Credit Card,In-Store,1
2,147,Electronics,Product_147,3,163.68,491.04,2022-02-26 03:09:32,38,Cash,Website,1
3,217,Fashion,Product_217,5,205.01,1025.05,2022-07-24 07:00:57,271,Cash,Website,0
4,292,Electronics,Product_292,4,163.13,652.52,2022-01-09 09:49:05,414,Cash,Website,1
5,423,Fashion,Product_423,3,608.73,1826.19,2022-05-19 09:38:52,368,Cash,Mobile App,1
6,351,Electronics,Product_351,2,437.99,875.98,2022-08-18 19:33:38,392,Cash,In-Store,0
7,295,Electronics,Product_295,3,540.75,1622.25,2022-02-27 06:16:31,315,Credit Card,Mobile App,0
8,459,Fashion,Product_459,5,659.96,3299.8,2022-02-07 01:43:43,412,PayPal,In-Store,1
9,109,Home & Garden,Product_109,4,200.0,800.0,2022-04-02 17:13:32,413,Cash,Website,1
10,311,Fashion,Product_311,4,274.22,1096.88,2022-04-28 02:59:51,343,Cash,Website,0
11,377,Fashion,Product_377,3,572.52,1717.56,2022-06-17 21:14:13,69,Cash,Website,0
12,342,Home & Garden,Product_342,3,326.35,979.0500000000001,2022-01-18 16:15:32,452,Cash,Mobile App,0
13,392,Electronics,Product_392,2,42.83,85.66,2022-01-07 10:46:31,281,Credit Card,In-Store,1
14,187,Fashion,Product_187,4,359.27,1437.08,2022-06-22 20:12:29,232,Cash,In-Store,0
15,170,Fashion,Product_170,4,728.45,2913.8,2022-02-01 11:54:39,155,PayPal,In-Store,0
16,188,Fashion,Product_188,4,339.04,1356.16,2022-03-27 01:36:38,251,PayPal,Mobile App,0
17,496,Electronics,Product_496,1,279.15,279.15,2022-04-26 08:27:40,138,Cash,In-Store,1
18,414,Electronics,Product_414,4,791.83,3167.32,2022-05-02 23:43:36,444,Cash,In-Store,1
19,293,Home & Garden,Product_293,4,522.64,2090.56,2022-06-18 13:19:02,362,Cash,Mobile App,1
20,139,Fashion,Product_139,2,305.48,610.96,2022-04-13 19:10:26,245,PayPal,Mobile App,1
21,187,Home & Garden,Product_187,2,99.58,199.16,2022-08-05 10:21:16,184,Credit Card,In-Store,1
22,274,Home & Garden,Product_274,5,634.52,3172.6,2022-03-01 19:00:52,328,Credit Card,In-Store,0
23,188,Fashion,Product_188,2,572.3,1144.6,2022-07-18 07:00:48,85,Credit Card,Mobile App,1
24,437,Fashion,Product_437,4,739.09,2956.36,2022-03-08 13:22:57,396,PayPal,Mobile App,1
25,265,Home & Garden,Product_265,4,189.47,757.88,2022-05-28 21:17:36,199,PayPal,Mobile App,0
26,125,Electronics,Product_125,4,109.64,438.56,2022-07-22 10:14:45,349,Credit Card,Mobile App,0
27,433,Home & Garden,Product_433,2,584.78,1169.56,2022-07-30 13:27:14,366,Cash,Mobile App,1
28,172,Electronics,Product_172,3,178.65,535.95,2022-06-27 05:24:40,259,Cash,Mobile App,0
29,365,Electronics,Product_365,1,157.36,157.36,2022-06-08 00:17:14,168,Credit Card,Website,1
30,215,Home & Garden,Product_215,5,269.45,1347.25,2022-07-03 02:08:32,58,Credit Card,In-Store,0
31,343,Fashion,Product_343,3,657.12,1971.3600000000001,2022-05-02 03:21:31,251,PayPal,In-Store,1
32,297,Home & Garden,Product_297,1,440.84,440.84,2022-04-05 17:59:01,412,PayPal,In-Store,0
33,435,Home & Garden,Product_435,2,55.76,111.52,2022-04-10 12:53:26,416,PayPal,Mobile App,0
34,438,Electronics,Product_438,5,381.84,1909.1999999999998,2022-07-19 22:36:26,420,Credit Card,Website,1
35,199,Home & Garden,Product_199,5,553.5,2767.5,2022-01-04 02:26:35,141,Credit Card,In-Store,0
36,277,Fashion,Product_277,2,439.93,879.86,2022-01-03 01:13:17,321,Cash,Website,0
37,343,Home & Garden,Product_343,3,466.51,1399.53,2022-05-29 02:41:29,256,PayPal,Website,1
38,385,Home & Garden,Product_385,1,195.33,195.33,2022-05-07 16:54:37,152,Cash,Mobile App,1
39,247,Electronics,Product_247,4,681.24,2724.96,2022-05-22 22:17:40,134,Cash,In-Store,0
40,247,Fashion,Product_247,4,457.89,1831.56,2022-01-28 05:31:04,184,Cash,Website,1
41,498,Fashion,Product_498,1,576.33,576.33,2022-04-18 21:45:11,193,PayPal,Mobile App,1
42,388,Electronics,Product_388,4,785.85,3143.4,2022-08-15 04:57:49,292,Credit Card,In-Store,1
43,365,Fashion,Product_365,3,353.99,1061.97,2022-03-14 19:41:24,384,PayPal,Mobile App,0
44,285,Fashion,Product_285,2,707.23,1414.46,2022-08-17 21:36:33,11,PayPal,Website,1
45,227,Home & Garden,Product_227,4,25.68,102.72,2022-06-29 14:20:00,158,PayPal,In-Store,0
46,132,Electronics,Product_132,2,46.06,92.12,2022-06-29 14:53:57,320,Cash,In-Store,0
47,131,Fashion,Product_131,4,480.42,1921.68,2022-01-31 07:25:47,466,Cash,In-Store,0
48,302,Electronics,Product_302,4,262.93,1051.72,2022-07-10 06:57:35,305,Cash,In-Store,0
49,344,Home & Garden,Product_344,5,213.66,1068.3,2022-04-13 11:35:36,489,Credit Card,In-Store,1
50,251,Fashion,Product_251,4,236.79,947.16,2022-06-28 09:10:57,211,Credit Card,Mobile App,1
51,263,Electronics,Product_263,5,268.35,1341.75,2022-04-26 21:23:02,60,Credit Card,In-Store,0
52,470,Fashion,Product_470,1,588.58,588.58,2022-08-08 10:20:15,117,Credit Card,Mobile App,1
53,283,Electronics,Product_283,4,463.97,1855.88,2022-04-10 06:26:10,176,PayPal,In-Store,0
54,128,Home & Garden,Product_128,4,635.45,2541.8,2022-03-25 11:45:46,446,Cash,Website,1
55,390,Home & Garden,Product_390,4,667.55,2670.2,2022-04-12 11:27:23,139,Cash,Mobile App,0
56,228,Fashion,Product_228,5,677.49,3387.45,2022-03-11 05:38:24,148,PayPal,Website,0
57,228,Fashion,Product_228,4,343.42,1373.68,2022-06-24 04:13:11,230,PayPal,Mobile App,0
58,153,Electronics,Product_153,3,348.59,1045.77,2022-05-18 04:59:51,78,Cash,In-Store,1
59,489,Fashion,Product_489,1,742.49,742.49,2022-07-05 13:16:29,186,Cash,In-Store,0
60,138,Home & Garden,Product_138,2,536.18,1072.36,2022-05-13 00:02:28,452,Credit Card,Mobile App,1
61,344,Home & Garden,Product_344,2,82.76,165.52,2022-07-14 11:38:40,37,Credit Card,In-Store,1
62,373,Home & Garden,Product_373,5,442.91,2214.55,2022-07-30 18:44:23,4,PayPal,Mobile App,1
63,435,Fashion,Product_435,1,297.69,297.69,2022-01-06 08:42:01,420,Cash,Mobile App,1
64,488,Electronics,Product_488,1,790.2,790.2,2022-07-16 02:04:08,456,Cash,In-Store,1
65,205,Home & Garden,Product_205,2,30.65,61.3,2022-01-17 07:26:57,247,Credit Card,In-Store,0
66,142,Home & Garden,Product_142,5,497.5,2487.5,2022-07-08 23:33:18,331,Credit Card,In-Store,0
67,131,Fashion,Product_131,3,584.43,1753.29,2022-02-04 06:04:14,85,Cash,Mobile App,0
68,476,Fashion,Product_476,1,245.35,245.35,2022-05-18 22:28:50,349,PayPal,Website,1
69,357,Fashion,Product_357,2,779.44,1558.88,2022-06-22 07:18:58,73,Credit Card,Mobile App,0
70,421,Fashion,Product_421,3,690.44,2071.32,2022-07-02 14:58:25,9,Cash,Mobile App,1
71,157,Electronics,Product_157,3,734.21,2202.63,2022-01-24 20:40:37,466,PayPal,In-Store,0
72,391,Fashion,Product_391,3,35.0,105.0,2022-07-28 19:52:31,466,Cash,In-Store,1
73,458,Electronics,Product_458,4,464.5,1858.0,2022-02-17 11:41:55,381,Cash,In-Store,1
74,219,Electronics,Product_219,3,249.83,749.49,2022-04-27 18:26:33,198,Cash,Website,0
75,367,Home & Garden,Product_367,3,682.24,2046.72,2022-07-02 22:09:25,480,PayPal,Website,0
76,182,Home & Garden,Product_182,2,513.62,1027.24,2022-06-11 04:38:19,222,PayPal,Mobile App,1
77,191,Fashion,Product_191,5,440.32,2201.6,2022-05-08 10:31:34,444,Cash,Mobile App,1
